item_id,channel,data,date_created
9754438b-87c0-4dbc-927b-fca1ac4e6267,instagram,"{""key"":""ef016faa-8a52-47bf-a0ae-3615f06eaa48"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.736Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""igPost"":{""likes"":5,""views"":347,""reach"":144,""comments"":0,""shares"":0,""saved"":0,""totalInteractions"":5},""publishedDate"":""2026-01-13T01:01:02.498Z""}",2026-02-11 09:17:58.749000
5496671e-10b3-4a30-bfcf-f20d1b1a8a6b,facebook,"{""key"":""2e2c4a8d-0ca0-4982-aecf-69b51d768bc4"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.736Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""fbPost"":{""reactions"":{""like"":2,""love"":1},""activity"":{""like"":3},""impressions"":{""total"":177,""unique"":123}},""publishedDate"":""2026-01-13T01:00:47.100Z""}",2026-02-11 09:17:58.749000
f28e30a6-2256-4cce-a636-f15f38aed9df,facebook,"{""key"":""9a717896-4bc2-4d4f-bbb1-564937cadce8"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.736Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""fbPost"":{""reactions"":{""like"":1,""love"":1},""activity"":{""like"":2},""impressions"":{""total"":129,""unique"":92}},""publishedDate"":""2026-01-14T15:00:45.672Z""}",2026-02-11 09:17:58.749000
44740700-9dbf-4cf7-bb2c-b4911a8059ec,linkedin,"{""key"":""a5505360-c0a5-4f7f-aeea-b6278e1248df"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.736Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""linkedinPost"":{""uniqueImpressions"":11,""shares"":0,""engagement"":0.041666666666666664,""clicks"":0,""likes"":1,""impression"":24,""comments"":0},""publishedDate"":""2026-01-13T01:00:54.860Z""}",2026-02-11 09:17:58.749000
4037e11c-b0af-4d44-95e3-e33d6204783f,pinterest,"{""key"":""ec5a9134-43ed-4fdb-be0b-d556b228d9e7"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.736Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""pinterestPost"":{""impressions"":1,""saves"":0,""clicks"":0,""comments"":0,""reactions"":0},""publishedDate"":""2026-01-14T15:00:50.415Z""}",2026-02-11 09:17:58.749000
254d34dc-6f59-4d9b-840d-e8281faf71ea,pinterest,"{""key"":""e3ede399-dd8d-4fce-b4a8-a5fc11d3e3f7"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.736Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""pinterestPost"":{""impressions"":0,""saves"":0,""clicks"":0,""comments"":0,""reactions"":0},""publishedDate"":""2026-01-15T01:00:58.688Z""}",2026-02-11 09:17:58.748000
bece976a-6a10-40e5-b6a9-6b4bbaad98e5,facebook,"{""key"":""5daad63a-f11c-40db-b53c-185c3728f63d"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.736Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""fbPost"":{""reactions"":{},""activity"":{},""impressions"":{""total"":63,""unique"":42}},""publishedDate"":""2026-01-14T15:03:51.964Z""}",2026-02-11 09:17:58.748000
a906d575-c48b-421f-a033-e4611e61ba5e,facebook,"{""key"":""5dc45b6f-4cba-4430-9064-a7db420c8fd6"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.736Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""fbPost"":{""reactions"":{""like"":20,""love"":13},""activity"":{""share"":1,""like"":32,""comment"":2},""impressions"":{""total"":874,""unique"":538}},""publishedDate"":""2026-01-15T01:00:38.810Z""}",2026-02-11 09:17:58.748000
a48a68a3-bf0a-4552-be19-9e70063d23bd,facebook,"{""key"":""e42e6de0-ea17-49c4-a7c9-eb2a91253253"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.736Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""fbPost"":{""reactions"":{""like"":1,""love"":1},""activity"":{""like"":2},""impressions"":{""total"":99,""unique"":67}},""publishedDate"":""2026-01-15T01:00:44.873Z""}",2026-02-11 09:17:58.748000
4162a723-19fc-4c44-a642-a6a8fa0eb2e3,pinterest,"{""key"":""4f42cac7-03e7-48aa-b8fb-93dca8fbc913"",""ownerId"":""4877283f-36a0-4e5b-a395-5d070b2d02bf"",""updatedDate"":""2026-02-11T09:17:58.736Z"",""metaSiteId"":""745ac10f-37a1-42ed-b181-dc87bb54e53e"",""pinterestPost"":{""impressions"":1,""saves"":0,""clicks"":0,""comments"":0,""reactions"":0},""publishedDate"":""2026-01-14T15:04:02.839Z""}",2026-02-11 09:17:58.748000
